,Time_submitted,Review,Rating,Total_thumbsup,Reply
20643,2022-05-19 01:50:42,"I don't know why would anyone without a subscription would download the version for mobile. It's absolutely fill to the brim with ads, it's impossible to use playlists and it feels literally designed to NOT be used without a subscription. The aggressive marketing is the core driven of the mobile version and a slap to the face for any user. This is one of the many good reasons that keep me from buying a subscription or supporting Spotify in any way. Don't install it.",1,16,
5367,2022-06-27 19:52:49,"I used to love this app, it's very relaxing & u can pick any song u want. But I'm very disappointed on the new update, it doesn't let u skip some part of the song & it also won't let u pick any song u like, it will just played a random song. I CANT EVEN PLAY MY OWN PLAYLIST CUZ OF THE SHUFFLE, very disappointing but I'm still hoping the next time y'all update this app, pls remove the shuffle thing & the part when it won't let u skip some part of the song. I hope y'all understand :)",1,0,
25836,2022-05-04 11:51:08,"The widget on the lock screen is creating a lot of problems. Could not find a way to disable it. Samsung phone, Android 11.",2,0,
35633,2022-04-14 15:51:12,"Was good until I started having some issues, the app doesn't play music, I have a connection too. Also songs randomly freeze for a few seconds and play they also don't appear as playing. Please resolve this issue thanks a lot.",1,2,
55731,2022-02-03 02:46:20,The app is ok. But there is a lot of misinformation spread through this app. I'm thinking about dumping them but giving them some time to do the right thing...allowing known misinformation to spread isn't ok. I hear Pandora is cool.,1,3,
59855,2022-01-20 05:51:19,At the first it was good but now after the updates i had to listen 6 ads in a row before I play a song I understand it is all business tactics but its at its peak. More over each ad is about 30 to 40sec we can't even skip. Kindly reduce ads,2,0,
42241,2022-03-25 15:04:07,"For a couple of months your app is unstable. Multiple times I had to re download all songs. Multiple times I was unable to log into my account. Today I tried for 6 hours, no recovery email, not connecting to the internet. This was the last time it ruined my workout session. I think you guys are too occupied with Barcelona sponsoring, to care about your app or your paying customers. So you can find other idiots to support your company for the future!",1,1,
59623,2022-01-21 09:16:05,Ads literally EVERY 2 SONGS why so many ? Not everyone can pay just to listen to songs without ads especially students like me. Atleast make a skip ad button or the ads more short an rare. Everything else is amazing,1,0,
55261,2022-02-04 15:51:46,Now Spotify is pushing for premium.We can't play any individual song now.That's I am giving one rating,1,0,
11081,2022-06-14 18:45:58,"WE'LL HIDE THIS FROM HOME FOR 90 DAYS, How about never put podcasts on my homepage ever. I don't want my music app to be covered in political podcasts. If my family didn't already have a plan I would rather use the free version of Pandora and if I was going to pay I'd use apple music.",1,1,
31753,2022-04-20 18:51:11,fix bugs!!!! Spotify makes billions and has the worst bugs with recent update,1,0,
20374,2022-05-19 21:29:02,"Used to be the best, with each update it gets worse....",1,1,
11994,2022-06-12 16:54:25,Shuffle is not. I would like my playlists to be mixed,2,0,
20359,2022-05-19 22:10:21,Why the hell did you get rid of the Related Artists feature? It was a brilliant way of discovering new artists on the platform and someone had the bright idea to rid of it. Do the right thing and bring it back.,1,1,
9085,2022-06-19 10:43:03,Yeah it's fine when it works properly shame that's a rare occasion,1,0,
38717,2022-04-11 00:05:13,"Latest update is Causing a lot of issues, I'm getting logged out and the song that's currently playing is not showing, after logging in can't access downloaded songs",1,0,
28888,2022-04-26 13:11:42,"Hi, @Spotify @SpotifyCares We noticed that the song 'MONEY' by LISA on some of your playlists has been replaced with an unauthorized song with an identical name. Hope you fix this immediately. Would u mind giving us some advice please @AskSpotifyStars",1,2,
36854,2022-04-13 11:59:58,Recently been very buggy and annoying. No way am i reinstalling to redownload all 12k songs i downloaded,1,0,
43885,2022-03-19 05:53:24,No play by folder on mobile. I'll go premium if you'll have that feature.,1,1,
20618,2022-05-19 03:41:04,"I moved from Apple Music to Spotify because Apple had way too many bugs. Lately, Spotify has had so many bugs and I have reached out, but it's always the same. A link to a forum that tells you how to do a fresh install which does work... temporarily. Then you're back where you started. I understand bugs happen but lately it's really felt like these issues aren't taken very seriously. For the record, I have an S22 with the latest software. I love spotify, but I wish it worked smoother.",2,30,
29525,2022-04-24 22:43:03,Not high quality music,2,0,
8698,2022-06-20 09:25:28,Every time when i open this app and play a song i had to see 2 ads which is very annoying asking to buy subscription again and again This is worst thing in this app,1,0,
60418,2022-01-15 20:45:24,It used to be my favorite app to listen to music but when you got your new update i click on a song i want but then it starts playing a completely different song when i go to my likes my suffle play doesnt work and i cant click on the song i want it just gives me a a 10 second preview of the chores and then stops,1,3,
46232,2022-03-08 19:36:06,"Got logged out while randomly playing my song in my car and now it won't let me log back in, neither with email nor username, saying the account doesn't exist",1,0,
56240,2022-02-01 10:40:26,Put scrolling on the liked songs page back to the way it was and quit screwing it up every 4 months,2,0,
34447,2022-04-16 03:19:03,"So buggy. Play/pause bar keeps randomly disappearing. Stops in middle of songs. Used to be great, but a total mess anymore.",1,4,
20111,2022-05-20 16:59:01,Mr. CEO of Spotify please stop the ads after every song without purchaseing any premium it's very irritating otherwise i have to uninstall the spotify app and think about other app,1,0,
20560,2022-05-19 09:49:57,Too much time takes to launch,1,0,
16305,2022-05-31 13:25:57,Songs added to my favorite list without my permission and not able to play favorites.,1,0,
33927,2022-04-17 01:18:26,I want to give it a 5 because it is an amazing app. However it is not optimized for offline mode. It is not usable and all downloads disappear off your phone within a couple days instead of the allotted 30 day time. I work out of phone service for weeks at a time so having all songs disappear is really terrible.,1,45,
53728,2022-02-09 16:02:38,App cant play songs on a downloaded playlist while offline,1,0,
26988,2022-05-01 05:26:06,"My experience has been bad lately. There is no ""add to queue"" option. The ""go to song radio"" option is also missing. Without these, I think I am really missing out on enjoying the app. I would request Spotify to please fix this bug or roll out help for it because it is really annoying.",1,118,
5443,2022-06-27 17:21:38,"Why can't I edit my suggestion experience, I don't want to see endless lists of music playlists.",1,0,
4500,2022-06-29 17:42:51,Why can't you choose your own songs? It'll make it simpler and give people more freedom.,1,0,
5487,2022-06-27 15:26:43,"I only started using Spotify in 2020 and up until this year I loved it. The issues started with music stopping randomly is I open another app/turn my phone screen off, as well as having issues connecting it to my sonos speaker. Although those issues seemed to have been resolved, I've had enough now. Keep trying to play one playlist, but after playing one song it starts to play the last playlist I played! It's an issue on both my phone and PC.",2,67,
18492,2022-05-25 17:23:26,I have already logged in but everything has got logged out and it is not sending a new link,2,0,
47974,2022-03-05 04:19:58,"Was working just fine, then it wouldn't. Tried to update, it won't update. I can't search for anything, it just hangs. And I pay for it...",1,0,
33442,2022-04-17 23:41:07,"it randomly stops playing, usually when my screen times out. also the banner for the song I'm listening to doesn't show so I can't skip or pause and to stop the app I have to force stop it by closing down the whole app.",1,2,
56680,2022-01-31 01:01:32,Suggested content is off the mark and keeps worming it's way in. It's hard to keep just the content I want. Time to explore other podcast options.,1,0,
48445,2022-03-02 23:35:54,"Used to rly love this app&im still gonna use it,the overall listening exp is good,but thereve been some issues here&there. Starting with that there isnt an obvious way to contact customer support? and as a paying customer I expect that,as I also havent seen a single reply to a review here. My most recent issue is that the scroll bar doesnt seem to work in my liked songs anymore? Its been fun havin to scroll through x liked songs manually... Sadly there isnt more space here, and no customer sup",2,0,
14999,2022-06-04 10:12:03,"I have been a subscriber family for a long time, 5 star no problems, how ever just recent, I have now don't have the lyrics and some songs don't play, please get it all sorted please",2,0,
51970,2022-02-16 13:22:26,always jumps to other singers. too stupid.,1,0,
14764,2022-06-05 01:59:33,I loved it but now idk how to play a full song like the new update you can listen to bit of it to see what it is but idk how to play all of it :/ and i can't play a playlist it will play a random song that i don't even know :|,1,0,
60601,2022-01-14 09:22:41,Every second day i have to reinstall the app and clear cache because when i try to shuffle liked songs it only plays songs that arent in the playlist. It started around christmas and hasnt stopped since. When the app worked it was really good but now Im praying the next song is one in my playlist Literally just had to reinstall after less than an hour since the last time. Please fix this,2,1,
7757,2022-06-22 10:11:40,When I want to play my liked songs it instead play another song and when I play a song it's only for a while I hope it's fixed,2,1,
37727,2022-04-12 14:20:09,"It's ok, but it wont allow me to play my downloaded playlist while offline, and that's annoying.",2,0,
35942,2022-04-14 09:15:56,I am using a premium account and the app keeps crashing. Please rectify it.,2,1,
6219,2022-06-25 20:48:06,I downloaded spotify to try it on my phone and its not lettting me play any songs its absolute garbage,1,0,
46614,2022-03-08 18:51:38,Will not let me log in even if I use the correct information will not let me login without password either,1,0,
57073,2022-01-29 22:09:17,"There are better apps out there. This one is kinda dooky garbagio! Wouldn't recommend. Music in fine, but you could listen to music on just about a 100 different apps. Podcasts are kinda whacky. If you grew up taking public transportation and miss crazy people talking all kinds of nonsense to you while you pretend to be staring out the window minding your own business, this app actually might be your jam.",1,17,
47053,2022-03-08 18:30:32,My account out logged out by itself when it was fine an hr ago . Even if I try to join it is not recognising my mail . This has never happened to me I lost so many playlist of mine 😭,1,2,
10530,2022-06-16 03:11:02,Do not get this app unless you have the money to get premium every month because everytime you make a playlist they feel the need to add 30 songs that you don't like so please only get this if you have money to get premium,1,0,
30564,2022-04-22 14:44:46,Keeps spamming me with demands for Bluetooth permissions when I log in. It does not provide an option to permanently opt out. An app that does not respect me does not get respect from me.,2,0,
37386,2022-04-12 20:59:30,I have no idea how this is still considered a useful app. I listen to many hours of podcasts daily and need to force stop minimum 8-10 times a day.,1,1,
